,Smiles,ROMol,fp,expt,is_active,cycle
1915,[H]c1nc([H])c([C@]([H])(N([H])C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070efdd0>,gp_200_UCB_False_10,False,1
1916,[H]c1nc([H])c(-c2nnc(-c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])s2)c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6890>,gp_200_UCB_False_10,False,1
1917,[H]c1nc([H])c(S(=O)(=O)C([H])([H])N([H])c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6120>,gp_200_UCB_False_10,False,1
1918,[H]c1nc([H])c(-c2nc([H])n(-c3c([H])c([H])c([H])c(N([H])[H])c3[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b002e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6dd0>,gp_200_UCB_False_10,False,1
1919,[H]OC(=O)C(=O)C([H])=C(O[H])N(c1c([H])nc([H])c([H])c1[H])C([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6740>,gp_200_UCB_False_10,False,1
1920,[H]c1nc([H])c(-c2nc([H])n(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b003c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e67b0>,gp_200_UCB_False_10,False,1
1921,[H]c1nc([H])c(-n2nnc(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6430>,gp_200_UCB_False_10,True,1
1922,[H]C(=NC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c1c([H])nc([H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b004a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e63c0>,gp_200_UCB_False_10,False,1
1924,[H]OC(=O)c1c(C([H])([H])OS(=O)(=O)c2c([H])nc([H])c([H])c2[H])c(C([H])([H])[H])nn1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6660>,gp_200_UCB_False_10,False,1
1949,[H]c1nc([H])c(C2(OC([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6970>,gp_200_UCB_False_10,False,1
